"code" "intercept" "slope" "nsnps"
"379" "20002_1387" -72.1876035855444 -13.6763912080568 3151
"380" "20002_1394" -15.901237015413 -1.64054032528018 1068
"381" "20002_1398" -14.7834438932603 -1.45128648504073 635
"382" "20002_1400" -14.2241517051717 -2.16638425589403 709
"383" "20002_1405" -13.6607632183623 -1.94051220120568 755
"384" "20002_1406" -15.4288510373448 -1.38664923458598 612
"385" "20002_1407" -14.594934758768 -2.06474658634688 878
"386" "20002_1408" -13.901385140106 -1.98033350747927 657
"387" "20002_1412" -13.6378390379983 -1.79515772908991 624
"388" "20002_1413" -12.1583475443258 -2.35502152528241 760
"389" "20002_1414" -15.7698281533926 -1.61600057642577 1109
"390" "20002_1415" -11.6848591265852 -2.36239525040593 518
"391" "20002_1416" -14.6726043153267 -1.55307424581833 669
"392" "20002_1417" -14.2570623180167 -1.88319562750719 1247
"393" "20002_1419" -16.7525219986652 -1.52638432685487 1320
"394" "20002_1420" -16.7686095295387 -1.39446666103542 1076
"395" "20002_1421" -14.065182841661 -1.82861920564426 690
"396" "20002_1425" -15.6651708200662 -1.72931872004916 1042
"397" "20002_1427" -15.6906828616026 -1.68835983599212 963
"398" "20002_1428" -16.753893741603 -1.42384474136826 1305
"399" "20002_1430" -16.9374022757159 -1.40650061811181 1288
"400" "20002_1433" -17.243279486592 -1.26029757123874 1354
"401" "20002_1434" -14.0705712928671 -1.72105089874726 722
"402" "20002_1435" -17.315319775044 -1.1663413097437 1605
"403" "20002_1436" -13.7998393639642 -1.7875226982961 712
"404" "20002_1437" -17.4585513842769 -1.24553892791553 1524
"405" "20002_1438" -17.2653345363837 -1.41166034289885 1901
"406" "20002_1439" -15.0216917334083 -1.78318607930983 1178
"407" "20002_1440" -12.91028521863 -2.0730935891199 672
"408" "20002_1441" -14.3092944828692 -1.9594294388647 974
"409" "20002_1442" -13.0724342949108 -2.05375998954397 703
"410" "20002_1445" -15.337846212424 -1.70187305746191 1130
"411" "20002_1446" -13.7115259097413 -2.10722353928044 775
"412" "20002_1451" -16.0145923485197 -1.65845205221336 1595
"413" "20002_1452" -16.8403798931666 -1.28340718711163 1682
"414" "20002_1453" -18.156434896503 -1.3151406283074 21787
"415" "20002_1454" -13.9499502461623 -1.95031731671523 795
"416" "20002_1455" -17.4451468577979 -1.20857432404737 1358
"417" "20002_1456" -19.1173177577914 -1.45914447995621 36016
"418" "20002_1457" -14.2044040147128 -1.80278421898838 727
"419" "20002_1458" -13.1629923391322 -2.02871757064689 681
"420" "20002_1459" -12.2058808857883 -2.36320029366368 741
"421" "20002_1460" -14.399801734933 -1.74818575303084 700
"422" "20002_1461" -16.6575658536302 -1.57869784418837 1302
"423" "20002_1462" -14.3670437220911 -1.73507662514595 842
"424" "20002_1463" -16.2930752897138 -1.62831996900745 4776
"425" "20002_1464" -17.2886562252024 -1.40181042523877 8629
"426" "20002_1465" NA NA NA
"427" "20002_1466" -16.048900289742 -1.5819974729313 4002
"428" "20002_1467" -11.5864525956768 -2.29850851952561 557
"429" "20002_1468" -16.9280010860945 -1.45472131314281 1662
"430" "20002_1469" -16.4230925754872 -1.43376481624961 1035
"431" "20002_1470" -15.4954786814757 -1.72944794297797 1053
"432" "20002_1471" -14.2669074550599 -1.77990504581213 1322
"433" "20002_1472" -16.9302980695087 -1.39306325416369 1188
"434" "20002_1473" -27.9065271839815 -5.50157910577148 7553
"435" "20002_1474" -15.2550568715686 -1.3528167336057 435
"436" "20002_1476" -13.6494701156023 -1.74766149296098 637
"437" "20002_1477" -17.0036638993923 -1.52645202855986 4789
"438" "20002_1478" -13.5567356975645 -1.74847571565351 529
"439" "20002_1479" -12.5814159824723 -2.26589729937176 683
"440" "20002_1482" -13.016989238891 -2.09168785610632 691
"441" "20002_1485" -14.3081173183141 -1.83865080565091 739
"442" "20002_1487" -16.3096207885227 -1.57173054615565 1173
"443" "20002_1491" -17.2017976795293 -1.45536366556584 1538
"444" "20002_1494" -11.622602715359 -2.46492848299792 798
"445" "20002_1495" -15.869715557299 -1.78707956323909 1195
"446" "20002_1497" -16.9495649268939 -1.20524282228832 1288
"447" "20002_1499" -16.3665777967587 -1.6068505864817 1214
"448" "20002_1500" -13.4051253937554 -2.33593213354578 916
"449" "20002_1501" -17.6935897612936 -1.32029278429201 1911
"450" "20002_1502" -14.4699372780494 -1.56018377346105 673
"451" "20002_1504" -16.2142799957684 -1.5858437897154 1273
"452" "20002_1505" -14.3951543395278 -1.79777092204642 808
"453" "20002_1508" -15.3986626875812 -1.79577515068471 860
"454" "20002_1509" -17.6443803953068 -1.5848120655459 1881
"455" "20002_1510" -14.6134241558267 -1.99915241537106 775
"456" "20002_1511" -15.5011272006066 -1.95949101050078 1088
"457" "20002_1512" -14.8887099605198 -1.97182953124964 1024
"458" "20002_1513" -13.0530149324597 -2.04275410768341 627
"459" "20002_1514" -15.3298208160956 -1.68710322628849 904
"460" "20002_1523" -16.8559111213599 -1.44806447775066 1199
"461" "20002_1525" -17.2128792728919 -1.35460836243275 1576
"462" "20002_1526" -15.7563987019298 -1.77211439373721 1091
"463" "20002_1528" -15.0841790728164 -2.00806151451453 1082
"464" "20002_1529" -13.778313987626 -2.01558915235863 751
"465" "20002_1530" -17.6487319627259 -1.27652750852446 2473
"466" "20002_1532" -14.8970217265814 -1.86199748007979 891
"467" "20002_1533" -14.2687462584409 -1.92588255143788 660
"468" "20002_1534" -12.9435954896438 -2.06555078919364 739
"469" "20002_1535" -15.7699619888586 -1.66063610238889 1130
"470" "20002_1536" -17.2772257301567 -1.25272539587564 1626
"471" "20002_1537" -13.4835098035266 -1.97716807341694 776
"472" "20002_1538" -12.5895684143329 -2.09399810805012 672
"473" "20002_1540" -16.6194123650513 -1.56312277268057 1384
"474" "20002_1541" -13.6670084454524 -2.16277401007603 775
"475" "20002_1542" -13.6640285073835 -2.13439751758103 762
"476" "20002_1544" -15.512614416717 -1.77181142484151 1125
"477" "20002_1545" -15.0366125841979 -1.96602625493095 884
"478" "20002_1548" -15.5113705291752 -1.80125742289072 1062
"479" "20002_1549" -16.6495161433544 -1.54630610619589 1451
"480" "20002_1550" -17.3971213239299 -1.33407806195163 1407
"481" "20002_1561" -14.3307236453587 -2.04701254249401 930
"482" "20002_1562" -16.3733470785373 -1.5710980340143 1219
"483" "20002_1563" -16.5894275162241 -1.38928048309595 1119
"484" "20002_1567" -14.5859808318506 -1.876263879299 997
"485" "20002_1568" -13.0612585658331 -2.04367682096449 722
"486" "20002_1569" -13.2553389554281 -2.1200966660815 684
"487" "20002_1570" -14.4306958835199 -2.02598402481163 805
"488" "20002_1571" -13.1583568231764 -1.98041633495699 712
"489" "20002_1572" -13.9496204910657 -2.23096059149894 1043
"490" "20002_1573" -15.0687130802462 -1.80059593715346 1072
"491" "20002_1575" -16.5346570280783 -1.57493532888211 1274
"492" "20002_1578" -16.8696872601462 -1.40884594227639 1530
"493" "20002_1585" -17.4897040582753 -1.34090174044138 1661
"494" "20002_1597" -13.3023568891101 -2.17555547350768 778
"495" "20002_1598" -14.4124776363181 -1.62520696042054 793
"496" "20002_1599" -14.9263564686237 -1.84851452439192 989
"497" "20002_1602" -17.1097425460652 -1.08773952252151 1270
"498" "20002_1603" -16.970820135627 -1.45159471567702 1432
"499" "20002_1605" -17.4961344918911 -1.41718902579749 1648
"500" "20002_1608" -17.4512738652673 -1.29476949627242 1741
"501" "20002_1610" -14.9882163774109 -1.96537293310534 1145
"502" "20002_1613" -16.9443454536445 -1.43887921200735 1442
"503" "20002_1614" -13.8302603556192 -2.16495552252555 921
"504" "20002_1616" -15.1008389504157 -1.81862134727088 912
"505" "20002_1617" -13.2912881971886 -2.05403632878488 778
"506" "20002_1619" -16.3125730180951 -1.53994648367272 1088
"507" "20002_1620" -17.4256509296314 -1.10437161815178 1750
"508" "20002_1623" -16.2596685390065 -1.58978785039338 1420
"509" "20002_1625" -15.7433942505517 -1.62126363804402 1017
"510" "20002_1626" -15.4095247271934 -1.78120766268143 1147
"511" "20002_1627" -16.8231464859581 -1.34216761554873 1304
"512" "20002_1628" -13.3964973054112 -2.25795365169449 799
"513" "20002_1629" -16.8629987774224 -1.32663543631031 1374
"514" "20002_1631" -14.8221737029501 -1.92636837028131 923
"515" "20002_1632" -16.4835427588108 -1.4060079829712 1123
"516" "20002_1633" -13.7424568713773 -2.11261619177576 902
"517" "20002_1634" -13.710583958473 -2.04271556926587 935
"518" "20002_1635" -16.9394911648249 -1.36885467537187 1478
"519" "20002_1636" -17.3002182731969 -1.37343524774706 1655
"520" "20002_1637" -13.3855904963674 -2.0847395075474 842
"521" "20002_1638" -16.1156449254097 -1.65073475163815 1470
"522" "20002_1639" -14.4768167286018 -2.01745382010239 1044
"523" "20002_1644" -14.5570130034627 -2.06270849397267 1027
"524" "20002_1646" -15.8773692647912 -1.55050749640171 1173
"525" "20002_1647" -17.2647503522383 -1.12303063232992 1191
"526" "20002_1648" -15.9615119125452 -1.49965759248684 1000
"527" "20002_1649" -16.139421520903 -1.52933947245645 1157
"528" "20002_1650" -16.2798199459241 -1.53638383207092 1219
"529" "20002_1651" -12.5322212919739 -2.23382834436635 852
"530" "20002_1652" -14.4174960910391 -2.00478238254408 980
"531" "20002_1653" -15.1104248446297 -1.77849473768028 911
"532" "20002_1654" -15.3865146569909 -1.81571153374584 1080
"533" "20002_1655" -17.1783141255154 -1.3554717007859 1624
"534" "20002_1656" -15.3207284828329 -1.87310711831823 1159
"535" "20002_1657" -16.0427816993576 -1.62199973488796 1172
"536" "20002_1660" -14.7576553617081 -1.72773572570102 856
"537" "20002_1661" -17.5309436388665 -1.25267283531423 1850
"538" "20002_1668" -16.4329279775791 -1.44384336395587 1103
"539" "20002_1677" -14.7731200330053 -1.81771127368274 794
"540" "20002_1683" -17.3039306918787 -1.30526403510253 1369
"541" "20002_99999" NA NA NA
"542" "20007_raw" NA NA NA
"543" "20015_raw" -19.3910579457057 -8.45053481595984 131211
"544" "20016_raw" -23.507553415426 -7.02990519171357 2459
